5	51
5	72
5	74
6	63
6	115
6	126
6	136
7	32
9	13
9	20
9	48
9	91
9	152
12	34
13	9
13	91
14	90
16	47
16	93
16	118
20	9
21	133
23	95
23	161
25	108
27	34
27	37
27	63
27	74
28	183
29	50
29	171
31	95
32	7
32	77
32	86
33	161
34	12
34	27
34	38
34	63
34	73
34	82
34	107
34	133
34	146
34	167
35	44
37	27
37	74
38	34
39	116
39	126
40	121
41	90
44	35
47	16
47	126
48	9
49	107
50	29
50	115
50	172
51	5
51	73
51	74
51	82
51	94
53	133
57	74
61	126
62	126
63	6
63	27
63	34
63	73
63	82
63	107
63	146
64	133
69	74
72	5
73	34
73	51
73	63
73	74
73	146
73	158
73	161
74	5
74	27
74	37
74	51
74	57
74	69
74	73
74	82
74	94
74	107
74	128
74	147
74	161
77	32
78	82
78	159
82	34
82	51
82	63
82	74
82	78
82	84
84	82
85	133
86	32
89	126
90	14
90	41
90	130
91	9
91	13
93	16
93	126
94	51
94	74
95	23
95	31
95	98
95	100
95	124
95	151
95	170
98	95
98	103
98	124
99	136
100	95
102	126
103	98
103	124
107	34
107	49
107	63
107	74
107	153
108	25
108	158
110	155
115	6
115	50
115	171
115	174
116	39
116	159
118	16
118	126
120	126
121	40
124	95
124	98
124	103
125	133
126	6
126	39
126	47
126	61
126	62
126	89
126	93
126	102
126	118
126	120
126	132
126	134
126	136
126	176
128	74
130	90
132	126
132	136
132	176
133	21
133	34
133	53
133	64
133	85
133	125
133	146
133	149
134	126
136	6
136	99
136	126
136	132
146	34
146	63
146	73
146	133
147	74
147	153
149	133
151	95
151	161
151	177
152	9
153	107
153	147
153	183
155	110
158	73
158	108
158	161
159	78
159	116
161	23
161	33
161	73
161	74
161	151
161	158
167	34
170	95
171	29
171	115
172	50
174	115
176	126
176	132
177	151
183	28
183	153
