0	127
0	268
1	67
2	192
2	311
4	116
4	253
5	71
6	32
7	83
7	92
8	248
9	226
13	66
13	231
14	134
16	27
16	235
17	89
19	66
22	103
22	195
23	66
23	140
23	153
24	192
24	288
24	311
25	76
25	139
26	69
27	16
27	235
28	226
29	63
29	150
29	172
29	221
29	259
31	90
31	197
32	6
32	100
32	128
32	232
33	144
33	303
34	86
34	256
35	165
35	223
35	254
35	262
37	233
38	291
39	146
40	50
40	84
40	187
40	222
40	231
40	242
43	222
44	105
44	209
44	227
45	83
45	186
45	284
46	212
46	234
46	252
46	256
46	300
47	149
47	237
48	62
48	84
49	240
50	40
50	186
50	231
50	278
50	301
52	261
54	247
54	290
55	61
56	132
56	151
56	213
56	245
59	74
61	55
61	62
61	120
61	221
61	258
62	48
62	61
62	181
62	221
63	29
63	172
66	13
66	19
66	23
66	231
67	1
69	26
69	125
70	304
71	5
71	226
71	286
72	148
73	92
74	59
75	109
75	197
76	25
78	272
79	98
83	7
83	45
83	229
84	40
84	48
84	107
84	242
85	157
86	34
86	256
87	92
87	225
89	17
90	31
91	305
92	7
92	73
92	87
92	129
92	225
93	97
96	138
96	274
97	93
97	263
98	79
98	239
99	198
99	257
100	32
100	128
100	232
101	311
102	158
103	22
103	195
103	298
104	253
105	44
105	209
106	258
107	84
108	112
109	75
109	197
109	308
110	147
110	202
111	140
112	108
114	241
115	267
115	302
116	4
117	171
119	261
120	61
120	221
120	243
120	280
120	303
122	172
122	300
123	169
125	69
126	135
127	0
128	32
128	100
128	232
129	92
130	179
130	249
131	145
132	56
132	213
134	14
134	213
135	126
135	197
137	301
138	96
138	266
138	291
139	25
139	193
139	238
140	23
140	111
141	295
144	33
144	247
144	303
145	131
146	39
146	279
147	110
148	72
149	47
149	237
150	29
150	221
150	259
151	56
151	245
152	154
152	217
152	277
153	23
154	152
156	249
157	85
158	102
159	244
165	35
165	262
166	181
169	123
171	117
172	29
172	63
172	122
172	300
174	209
175	226
179	130
179	249
181	62
181	166
181	205
182	216
186	45
186	50
186	278
186	284
186	301
187	40
187	222
190	245
192	2
192	24
192	311
193	139
193	246
193	255
195	22
195	103
197	31
197	75
197	109
197	135
198	99
198	257
199	296
202	110
203	269
203	281
204	301
205	181
207	285
208	224
209	44
209	105
209	174
210	222
210	256
212	46
212	234
213	56
213	132
213	134
214	256
214	282
216	182
217	152
217	277
221	29
221	61
221	62
221	120
221	150
221	259
222	40
222	43
222	187
222	210
223	35
223	254
224	208
225	87
225	92
225	293
226	9
226	28
226	71
226	175
227	44
229	83
231	13
231	40
231	50
231	66
232	32
232	100
232	128
233	37
234	46
234	212
234	252
234	256
234	300
235	16
235	27
237	47
237	149
238	139
239	98
240	49
241	114
242	40
242	84
243	120
244	159
245	56
245	151
245	190
246	193
246	255
246	287
246	292
246	307
247	54
247	144
247	290
248	8
249	130
249	156
249	179
252	46
252	234
252	256
252	300
253	4
253	104
254	35
254	223
255	193
255	246
256	34
256	46
256	86
256	210
256	214
256	234
256	252
256	282
257	99
257	198
258	61
258	106
259	29
259	150
259	221
261	52
261	119
262	35
262	165
262	309
263	97
266	138
266	291
267	115
267	302
268	0
269	203
269	281
272	78
274	96
277	152
277	217
278	50
278	186
278	301
279	146
280	120
280	303
281	203
281	269
282	214
282	256
284	45
284	186
285	207
286	71
287	246
287	292
288	24
290	54
290	247
290	307
291	38
291	138
291	266
292	246
292	287
293	225
295	141
296	199
296	307
298	103
300	46
300	122
300	172
300	234
300	252
301	50
301	137
301	186
301	204
301	278
302	115
302	267
303	33
303	120
303	144
303	280
304	70
305	91
307	246
307	290
307	296
308	109
309	262
311	2
311	24
311	101
311	192
